id,sku,nombre,activo,rubro_id,rubro_nombre,costo_reposicion,rentabilidad_target,precio_roca
6,10068,Guante nitrilo caja por 100  Talle M,1,6,Guantes,,,
58,10120,Barbijos rectos con tiras,1,27,Ropa Descartable,,,
113,10175,Barbijo Recto con elástico,1,27,Ropa Descartable,,,
114,10176,Barbijo Cónico,1,27,Ropa Descartable,,,
148,10209,Pack camilleros x 2 rollos,1,26,General,0.0,30.0,0.0
149,10210,Cofia Descartable,1,27,Ropa Descartable,,,
150,10211,Acohol 70 % bidon x 5 Lts,1,26,General,,,
153,10214,Cubrezapatos par,1,26,General,,,
154,10215,Jabon Liquid Sound Bac 500 cc,1,26,General,,,
157,10218,Surgizime O3 bidón 5 litros,1,26,General,,,
158,99001,Guantes nitrilo talle L caja x 100,1,6,Guantes,,,
160,99003,Guantes nitrilo talle S caja x 100 ,1,6,Guantes,,,
161,80001,TOALLAS SUPER BLANCAS CAJA POR,1,6,Guantes,,,
166,80006,PAPEL HIGIENICO 122,1,6,Guantes,,,
167,80007,TOALLA 200 MTS X 6,1,6,Guantes,,,
172,80012,SURGIBAC PA BIDÓN 5 LITROS,1,6,Guantes,,,
174,80014,JABON BACTERICIDA BIDON X 5 LTS,1,6,Guantes,,,
175,80015,GUANTES VETERINARIOS 90 CM BOLSA X 100 UN,1,6,Guantes,,,
177,80017,SURGIZIME E2 BOTELLA X 1 LT,1,6,Guantes,,,
178,80018,SURGIZIME O3 BOTELLA X 1 LT,1,6,Guantes,,,
179,80019,SURGIBAC PA PLUS BOTELLA X 1 LT,1,6,Guantes,,,
180,80020,SURGIBAC G BOTELLA X 1 LT,1,6,Guantes,,,
184,85024,PRODUCTO TEST MANUAL V15,1,1,,,,
194,85034,MANOPLAS,1,1,,,,
196,80035,GUANTE NITRILO L CAJA POR 100,1,6,Guantes,,,
198,80037,GUANTES DE USO VETERINARO X 100,1,6,Guantes,,,
200,80038,SURGIBAC PA BIDÓN POR 5 LITROS,1,6,Guantes,,,
204,80039,SURGIBAC PA BIDÓN POR 5 LITROS,1,6,Guantes,,,
205,80040,SURGIBAC PA BIDÓN POR 5 LITROS,1,6,Guantes,,,
